player_num,player_name,expected_assists,position,minutes_played,assists,in_stat_index,matches_played,starting_lineup_appearances,substitute_out,substitutes_in,goals,chances,chances_successful,chances_percent_of_conversion,shances_created,fouls,fouls_suffered,offsides,yellow_cards,red_cards,total_actions,successful_actions,successful_actions_percent,shots,shots_on_target,shots_on_target_percent,shots_wide,blocked_shots,shots_on_post_bar,penalty,penalties_scored,penalty_kicks_scored_percent,passes,accurate_passes,accurate_passes_percent,key_passes,key_passes_accurate,crosses,crosses_accurate,accurate_crosses_percent,lost_balls,lost_balls_in_own_half,ball_recoveries,ball_recoveries_in_opponents_half,x_g_expected_goals,x_g_per_shot,x_g_per_goal,x_g_conversion,x_g_with_a_player_on,opponents_x_g_with_a_player_on,net_x_g_x_g_player_on_opp_teams_x_g,defensive_x_g_x_g_of_shots_made_by_guarded_player,defensive_x_g_per_shot,challenges,challenges_won,challenges_won_percent,defensive_challenges,defensive_challenges_won,challenges_in_defence_won_percent,attacking_challenges,attacking_challenges_won,challenges_in_attack_won_percent,air_challenges,air_challenges_won,air_challenges_won_percent,dribbles,dribbles_successful,successful_dribbles_percent,tackles,tackles_successful,tackles_won_percent,ball_interceptions,free_ball_pick_ups,nationality,team,national_team,age,height,weight,foot,national_team_last_match_date_mm_yy,youth_national_team_last_match_date_mm_yy,expected_assists_p90,assists_p90,goals_p90,chances_p90,chances_successful_p90,chances_percent_of_conversion_p90,shances_created_p90,fouls_p90,fouls_suffered_p90,offsides_p90,yellow_cards_p90,red_cards_p90,total_actions_p90,successful_actions_p90,successful_actions_percent_p90,shots_p90,shots_on_target_p90,shots_on_target_percent_p90,shots_wide_p90,blocked_shots_p90,shots_on_post_bar_p90,penalty_p90,penalties_scored_p90,penalty_kicks_scored_percent_p90,passes_p90,accurate_passes_p90,accurate_passes_percent_p90,key_passes_p90,key_passes_accurate_p90,crosses_p90,crosses_accurate_p90,accurate_crosses_percent_p90,lost_balls_p90,lost_balls_in_own_half_p90,ball_recoveries_p90,ball_recoveries_in_opponents_half_p90,x_g_expected_goals_p90,x_g_per_shot_p90,x_g_per_goal_p90,x_g_conversion_p90,x_g_with_a_player_on_p90,opponents_x_g_with_a_player_on_p90,net_x_g_x_g_player_on_opp_teams_x_g_p90,defensive_x_g_x_g_of_shots_made_by_guarded_player_p90,defensive_x_g_per_shot_p90,challenges_p90,challenges_won_p90,challenges_won_percent_p90,defensive_challenges_p90,defensive_challenges_won_p90,challenges_in_defence_won_percent_p90,attacking_challenges_p90,attacking_challenges_won_p90,challenges_in_attack_won_percent_p90,air_challenges_p90,air_challenges_won_p90,air_challenges_won_percent_p90,dribbles_p90,dribbles_successful_p90,successful_dribbles_percent_p90,tackles_p90,tackles_successful_p90,tackles_won_percent_p90,ball_interceptions_p90,free_ball_pick_ups_p90,expected_assists_p90_percentil,assists_p90_percentil,goals_p90_percentil,chances_p90_percentil,chances_successful_p90_percentil,chances_percent_of_conversion_p90_percentil,shances_created_p90_percentil,fouls_p90_percentil,fouls_suffered_p90_percentil,offsides_p90_percentil,yellow_cards_p90_percentil,red_cards_p90_percentil,total_actions_p90_percentil,successful_actions_p90_percentil,successful_actions_percent_p90_percentil,shots_p90_percentil,shots_on_target_p90_percentil,shots_on_target_percent_p90_percentil,shots_wide_p90_percentil,blocked_shots_p90_percentil,shots_on_post_bar_p90_percentil,penalty_p90_percentil,penalties_scored_p90_percentil,penalty_kicks_scored_percent_p90_percentil,passes_p90_percentil,accurate_passes_p90_percentil,accurate_passes_percent_p90_percentil,key_passes_p90_percentil,key_passes_accurate_p90_percentil,crosses_p90_percentil,crosses_accurate_p90_percentil,accurate_crosses_percent_p90_percentil,lost_balls_p90_percentil,lost_balls_in_own_half_p90_percentil,ball_recoveries_p90_percentil,ball_recoveries_in_opponents_half_p90_percentil,x_g_expected_goals_p90_percentil,x_g_per_shot_p90_percentil,x_g_per_goal_p90_percentil,x_g_conversion_p90_percentil,x_g_with_a_player_on_p90_percentil,opponents_x_g_with_a_player_on_p90_percentil,net_x_g_x_g_player_on_opp_teams_x_g_p90_percentil,defensive_x_g_x_g_of_shots_made_by_guarded_player_p90_percentil,defensive_x_g_per_shot_p90_percentil,challenges_p90_percentil,challenges_won_p90_percentil,challenges_won_percent_p90_percentil,defensive_challenges_p90_percentil,defensive_challenges_won_p90_percentil,challenges_in_defence_won_percent_p90_percentil,attacking_challenges_p90_percentil,attacking_challenges_won_p90_percentil,challenges_in_attack_won_percent_p90_percentil,air_challenges_p90_percentil,air_challenges_won_p90_percentil,air_challenges_won_percent_p90_percentil,dribbles_p90_percentil,dribbles_successful_p90_percentil,successful_dribbles_percent_p90_percentil,tackles_p90_percentil,tackles_successful_p90_percentil,tackles_won_percent_p90_percentil,ball_interceptions_p90_percentil,free_ball_pick_ups_p90_percentil,valor_millones_euros
25,E. Dennis,2,F,2732,5,241,33,30,12,3,10,32,10,31,23,58,40,13,8,1,1714,990,0.58,57,27,47,13,16,1,0,0,NA,620,434,0.7,23,12,33,7,21,316,64,57,17,7,0.13,0.72,1.4,29,46,16.98,0.17,0.06,722,257,0.36,197,78,0.4,525,179,0.34,170,50,0.29,195,88,45,99,45,45,68,118,Nigeria,Watford,Nigeria,24,175,69,Right,03.22,-,0.06588579795021962,0.16471449487554907,0.32942898975109813,1.054172767203514,0.32942898975109813,1.0212298682284042,0.7576866764275256,1.910688140556369,1.3177159590043925,0.42825768667642755,0.2635431918008785,0.03294289897510981,56.46412884333821,32.61346998535871,0.01910688140556369,1.8777452415812592,0.8894582723279649,1.5483162518301612,0.42825768667642755,0.527086383601757,0.03294289897510981,0,0,NA,20.424597364568083,14.297218155197656,0.023060029282576864,0.7576866764275256,0.3953147877013177,1.0871156661786237,0.23060029282576866,0.691800878477306,10.4099560761347,2.108345534407028,1.8777452415812592,0.5600292825768668,0.23060029282576866,0.0042825768667642755,0.023718887262079064,0.04612005856515373,0.9553440702781845,1.5153733528550513,0.5593704245973645,0.0056002928257686685,0.0019765739385065885,23.784773060029284,8.466325036603221,0.011859443631039532,6.489751098096632,2.569546120058565,0.013177159590043924,17.29502196193265,5.896778916544656,0.011200585651537337,5.600292825768668,1.6471449487554906,0.009553440702781845,6.423865300146413,2.898975109809663,1.4824304538799415,3.2613469985358714,1.4824304538799415,1.4824304538799415,2.240117130307467,3.8872620790629577,0.39,0.74,0.63,0.21,0.58,0.55,0.58,0.97,0.74,0.45,0.87,0.97,0.87,0.76,0.21,0.26,0.42,0.32,0.13,0.68,0.45,0,0,NA,0.5,0.47,0.18,0.55,0.61,0.82,0.79,0.19,0.71,0.87,0.95,0.61,0.11,0.08,0.03,0.66,0.13,0.63,0.66,0.42,0.32,0.84,0.74,0.18,0.95,0.95,0.37,0.71,0.63,0.13,0.42,0.42,0.13,0.97,0.97,0.11,0.95,0.95,0.24,0.76,0.95,7
14,K. Iheanacho,3,F,1356,5,226,26,13,9,13,4,12,4,33,19,17,12,8,1,0,779,459,0.59,30,12,40,11,7,0,0,0,NA,352,276,0.78,19,12,6,1,17,162,31,17,10,3.1,0.1,0.77,1.3,13,25,11.98,0,0,297,87,0.29,69,21,0.3,228,66,0.29,78,15,0.19,43,20,47,29,12,41,26,39,Nigeria,Leicester,Nigeria,26,185,82,Left,03.22,06.15,0.19911504424778761,0.33185840707964603,0.2654867256637168,0.7964601769911505,0.2654867256637168,2.190265486725664,1.261061946902655,1.1283185840707965,0.7964601769911505,0.5309734513274336,0.0663716814159292,0,51.70353982300885,30.464601769911507,0.039159292035398224,1.991150442477876,0.7964601769911505,2.6548672566371683,0.7300884955752213,0.4646017699115044,0,0,0,NA,23.36283185840708,18.31858407079646,0.05176991150442478,1.261061946902655,0.7964601769911505,0.39823008849557523,0.0663716814159292,1.1283185840707965,10.752212389380531,2.057522123893805,1.1283185840707965,0.6637168141592921,0.20575221238938052,0.00663716814159292,0.05110619469026549,0.08628318584070796,0.8628318584070797,1.6592920353982301,0.7951327433628319,0,0,19.712389380530976,5.774336283185841,0.019247787610619467,4.579646017699115,1.3938053097345133,0.01991150442477876,15.13274336283186,4.380530973451328,0.019247787610619467,5.176991150442478,0.995575221238938,0.012610619469026548,2.853982300884956,1.3274336283185841,3.1194690265486726,1.924778761061947,0.7964601769911505,2.7212389380530975,1.7256637168141593,2.588495575221239,0.97,0.92,0.34,0.05,0.32,0.95,0.92,0.45,0.34,0.63,0.26,0,0.66,0.58,0.79,0.37,0.29,0.79,0.63,0.53,0,0,0,NA,0.68,0.82,0.84,0.92,0.97,0.34,0.39,0.52,0.76,0.82,0.55,0.76,0.05,0.45,0.42,0.95,0.08,0.92,0.87,0,0,0.61,0.29,0.61,0.76,0.5,0.71,0.53,0.32,0.58,0.34,0.16,0.29,0.58,0.61,0.82,0.63,0.55,0.68,0.47,0.58,18
9,Neal Maupay,4,F,2455,2,224,32,25,6,7,8,34,9,26,9,32,31,6,7,0,1222,754,0.62,57,17,30,26,14,0,2,1,50,612,476,0.78,22,7,7,1,14,201,35,31,13,10,0.18,1.26,0.8,34,30,4.3,0.13,0.07,413,141,0.34,96,39,0.41,317,102,0.32,137,32,0.23,62,35,56,36,23,64,34,57,"France, Argentina",Brighton,-,25,173,69,Right,-,07.15,0.14663951120162932,0.07331975560081466,0.29327902240325865,1.2464358452138493,0.329938900203666,0.9531568228105907,0.329938900203666,1.1731160896130346,1.1364562118126271,0.21995926680244401,0.25661914460285135,0,44.79837067209776,27.641547861507128,0.02272912423625255,2.089613034623218,0.6232179226069247,1.0997963340122199,0.9531568228105907,0.5132382892057027,0,0.07331975560081466,0.03665987780040733,1.8329938900203666,22.435845213849287,17.45010183299389,0.02859470468431772,0.8065173116089613,0.25661914460285135,0.25661914460285135,0.03665987780040733,0.5132382892057027,7.368635437881873,1.2830957230142568,1.1364562118126271,0.47657841140529533,0.3665987780040733,0.006598778004073319,0.04619144602851324,0.02932790224032587,1.2464358452138493,1.0997963340122199,0.15763747454175153,0.004765784114052953,0.0025661914460285134,15.140529531568228,5.169042769857434,0.012464358452138493,3.5193482688391042,1.4297352342158858,0.015030549898167007,11.621181262729124,3.7393075356415477,0.011731160896130348,5.022403258655804,1.1731160896130346,0.008431771894093687,2.2729124236252543,1.2830957230142568,2.0529531568228108,1.319755600814664,0.8431771894093686,2.346232179226069,1.2464358452138493,2.089613034623218,0.84,0.24,0.47,0.34,0.61,0.42,0.08,0.61,0.63,0.16,0.82,0,0.24,0.39,0.29,0.5,0.11,0.08,0.97,0.66,0,0.76,0.63,0,0.66,0.66,0.32,0.61,0.32,0.13,0.24,0.16,0.24,0.32,0.58,0.45,0.55,0.39,0.29,0.32,0.53,0.26,0.24,0.39,0.39,0.24,0.24,0.24,0.39,0.55,0.42,0.26,0.21,0.21,0.32,0.26,0.03,0.34,0.53,0.37,0.29,0.61,0.58,0.18,0.21,10
29,Patson Daka,1,F,1243,3,224,23,13,11,10,5,17,5,29,15,17,14,7,2,0,592,325,0.55,26,16,62,4,5,1,0,0,NA,222,174,0.78,9,7,1,0,NA,122,26,12,7,3.8,0.14,0.75,1.33,17,22,5.11,0,0,260,68,0.26,72,16,0.22,188,52,0.28,83,18,0.22,20,5,25,28,14,50,22,37,Zambia,Leicester,Zambia,23,183,71,Right,11.21,11.19,0.07240547063555913,0.21721641190667737,0.36202735317779566,1.2308930008045054,0.36202735317779566,2.099758648431215,1.0860820595333869,1.2308930008045054,1.0136765888978279,0.5068382944489139,0.14481094127111827,0,42.86403861625101,23.53177795655672,0.03982300884955753,1.8825422365245374,1.1584875301689461,4.489139179404666,0.28962188254223653,0.36202735317779566,0.07240547063555913,0,0,NA,16.074014481094128,12.598551890587288,0.05647626709573612,0.6516492357200322,0.5068382944489139,0.07240547063555913,0,NA,8.833467417538214,1.8825422365245374,0.8688656476267095,0.5068382944489139,0.2751407884151247,0.010136765888978279,0.05430410297666934,0.09629927594529365,1.2308930008045054,1.592920353982301,0.36999195494770715,0,0,18.825422365245373,4.9235720032180215,0.018825422365245377,5.2131938857602576,1.1584875301689461,0.01592920353982301,13.612228479485118,3.765084473049075,0.020273531777956558,6.009654062751409,1.3032984714400644,0.01592920353982301,1.4481094127111827,0.36202735317779566,1.8101367658889782,2.0273531777956557,1.0136765888978279,3.6202735317779564,1.592920353982301,2.679002413515688,0.45,0.82,0.76,0.32,0.68,0.92,0.82,0.68,0.39,0.55,0.45,0,0.21,0.13,0.82,0.29,0.79,0.92,0.05,0.21,0.66,0,0,NA,0.16,0.24,0.89,0.39,0.71,0.03,0,NA,0.5,0.68,0.32,0.47,0.26,0.71,0.47,0.97,0.42,0.84,0.47,0,0,0.47,0.21,0.55,0.89,0.37,0.45,0.39,0.24,0.71,0.5,0.34,0.58,0.11,0.05,0.29,0.79,0.82,0.87,0.39,0.61,18
14,Jean-Philippe Mateta,0,F,1213,1,223,22,13,12,9,5,22,5,23,4,14,7,14,2,0,630,371,0.59,31,19,61,9,3,0,0,0,NA,244,181,0.74,6,2,7,2,29,127,32,13,4,7,0.24,1.49,0.67,18,13,5.1,0.11,0.04,285,108,0.38,53,12,0.23,232,96,0.41,98,42,0.43,27,18,67,23,4,17,22,29,"France, Congo DR",Crystal Palace,-,24,192,82,Right,-,06.19,0,0.0741962077493817,0.37098103874690846,1.6323165704863973,0.37098103874690846,1.706512778235779,0.2967848309975268,1.0387469084913439,0.5193734542456719,1.0387469084913439,0.1483924154987634,0,46.743610882110474,27.526793075020606,0.0437757625721352,2.300082440230833,1.4097279472382522,4.525968672712284,0.6677658697444353,0.2225886232481451,0,0,0,NA,18.103874690849135,13.429513602638089,0.05490519373454246,0.4451772464962902,0.1483924154987634,0.5193734542456719,0.1483924154987634,2.151690024732069,9.422918384171476,2.3742786479802143,0.964550700741962,0.2967848309975268,0.5193734542456719,0.017807089859851605,0.11055234954657873,0.04971145919208574,1.3355317394888706,0.964550700741962,0.3784006595218466,0.008161582852431987,0.002967848309975268,21.145919208573783,8.013190436933224,0.02819455894476505,3.93239901071723,0.8903544929925804,0.017065127782357793,17.213520197856553,7.122835943940643,0.030420445177246496,7.271228359439406,3.116240725474031,0.03190436933223413,2.003297609233306,1.3355317394888706,4.971145919208574,1.706512778235779,0.2967848309975268,1.261335531739489,1.6323165704863973,2.151690024732069,0,0.26,0.82,0.74,0.71,0.84,0.03,0.37,0.08,0.95,0.47,0,0.32,0.37,0.89,0.76,0.95,0.95,0.5,0.05,0,0,0,NA,0.26,0.37,0.87,0.11,0.05,0.47,0.58,0.87,0.61,1,0.39,0.16,0.95,1,0.84,0.74,0.66,0.13,0.53,0.53,0.47,0.66,0.68,0.89,0.53,0.24,0.53,0.68,0.79,0.92,0.68,0.79,0.97,0.21,0.63,0.97,0.5,0.08,0.21,0.42,0.24,7
11,Tyler Roberts,0,F,1090,1,221,23,7,3,16,1,11,1,9,6,14,21,2,5,0,596,387,0.65,31,13,42,11,6,1,0,0,NA,295,215,0.73,5,3,14,3,21,89,16,22,9,3.1,0.1,3.1,0.32,13,20,7.44,0.07,0.07,169,67,0.4,55,21,0.38,114,46,0.4,39,12,0.31,37,20,54,24,13,54,31,41,"Wales, England",Leeds U23,Wales,23,180,75,Right,11.21,11.17,0,0.08256880733944955,0.08256880733944955,0.9082568807339451,0.08256880733944955,0.7431192660550459,0.4954128440366973,1.1559633027522938,1.7339449541284404,0.1651376146788991,0.41284403669724773,0,49.21100917431193,31.954128440366972,0.053669724770642205,2.5596330275229358,1.073394495412844,3.467889908256881,0.9082568807339451,0.4954128440366973,0.08256880733944955,0,0,NA,24.357798165137613,17.752293577981654,0.060275229357798166,0.41284403669724773,0.24770642201834864,1.1559633027522938,0.24770642201834864,1.7339449541284404,7.348623853211009,1.3211009174311927,1.8165137614678901,0.7431192660550459,0.25596330275229356,0.008256880733944955,0.25596330275229356,0.026422018348623857,1.073394495412844,1.651376146788991,0.6143119266055046,0.005779816513761468,0.005779816513761468,13.954128440366974,5.532110091743119,0.03302752293577982,4.541284403669725,1.7339449541284404,0.031376146788990825,9.412844036697248,3.798165137614679,0.03302752293577982,3.220183486238532,0.9908256880733946,0.025596330275229357,3.055045871559633,1.651376146788991,4.458715596330276,1.981651376146789,1.073394495412844,4.458715596330276,2.5596330275229358,3.3853211009174315,0,0.34,0,0.13,0,0.29,0.21,0.55,0.95,0.05,1,0,0.39,0.71,0.95,0.87,0.74,0.89,0.92,0.61,0.74,0,0,NA,0.76,0.71,0.92,0.08,0.29,0.87,0.82,0.81,0.21,0.37,0.92,0.84,0.21,0.55,1,0.26,0.32,0.89,0.71,0.45,0.87,0.21,0.26,1,0.74,0.82,0.92,0.11,0.26,1,0.05,0.13,0.84,0.68,0.79,0.95,0.74,0.87,0.97,0.87,0.79,3
9,Adam Armstrong,2,F,1523,2,219,23,17,7,6,2,13,3,23,9,13,6,2,1,0,695,431,0.62,43,16,37,13,14,0,0,0,NA,318,231,0.73,15,4,23,1,4,96,11,13,8,4.3,0.1,2.2,0.46,17,29,11.97,0.06,0.06,213,77,0.36,49,16,0.33,164,61,0.37,52,13,0.25,53,25,47,26,13,50,28,46,England,Southampton,-,25,173,70,Right,-,06.18,0.11818778726198292,0.11818778726198292,0.11818778726198292,0.7682206172028891,0.17728168089297439,1.3591595535128036,0.5318450426789232,0.7682206172028891,0.35456336178594877,0.11818778726198292,0.05909389363099146,0,41.07025607353906,25.469468154957323,0.03663821405121471,2.541037426132633,0.9455022980958634,2.186474064346684,0.7682206172028891,0.8273145108338805,0,0,0,NA,18.791858174655285,13.650689428759028,0.04313854235062377,0.8864084044648719,0.23637557452396585,1.3591595535128036,0.05909389363099146,0.23637557452396585,5.67301378857518,0.650032829940906,0.7682206172028891,0.4727511490479317,0.2541037426132633,0.005909389363099147,0.13000656598818122,0.027183191070256074,1.0045961917268549,1.7137229152987525,0.7073539067629678,0.0035456336178594874,0.0035456336178594874,12.58699934340118,4.550229809586343,0.021273801707156925,2.8956007879185814,0.9455022980958634,0.019500984898227186,9.6913985554826,3.6047275114904793,0.021864740643466843,3.0728824688115566,0.7682206172028891,0.014773473407747865,3.131976362442548,1.4773473407747868,2.777413000656599,1.5364412344057783,0.7682206172028891,2.9546946815495736,1.654629021667761,2.718319107025607,0.74,0.53,0.08,0.03,0.13,0.74,0.26,0.18,0,0,0.21,0,0.18,0.21,0.76,0.84,0.58,0.55,0.71,0.92,0,0,0,NA,0.34,0.39,0.71,0.74,0.24,0.92,0.34,0.03,0.03,0,0.24,0.42,0.18,0.29,0.92,0.29,0.21,0.97,0.76,0.29,0.58,0.08,0.16,0.76,0.18,0.26,0.68,0.18,0.18,0.76,0.03,0.05,0.5,0.71,0.74,0.71,0.39,0.53,0.79,0.45,0.63,10
7,Richarlison,3,F,2703,5,235,30,28,7,2,10,34,10,29,25,34,68,18,9,0,1659,908,0.55,64,23,36,18,20,3,3,3,100,562,379,0.67,20,11,41,4,10,349,57,58,24,9,0.14,0.88,1.13,27,42,14.57,0.18,0.05,766,271,0.35,153,60,0.39,613,211,0.34,301,81,0.27,133,81,61,61,31,51,73,108,Brazil,Everton,Brazil,25,184,83,Right,03.22,08.21,0.09988901220865705,0.16648168701442842,0.33296337402885684,1.1320754716981132,0.33296337402885684,0.9655937846836847,0.8324084350721421,1.1320754716981132,2.2641509433962264,0.5993340732519422,0.2996670366259711,0,55.238623751387344,30.233074361820197,0.01831298557158713,2.130965593784684,0.7658157602663707,1.1986681465038844,0.5993340732519422,0.6659267480577137,0.09988901220865705,0.09988901220865705,0.09988901220865705,3.3296337402885685,18.712541620421753,12.619311875693674,0.022308546059933407,0.6659267480577137,0.3662597114317425,1.365149833518313,0.13318534961154274,0.33296337402885684,11.620421753607104,1.897891231964484,1.9311875693673695,0.7991120976692564,0.2996670366259711,0.004661487236403996,0.0293007769145394,0.037624861265260816,0.8990011098779135,1.3984461709211988,0.4851276359600444,0.0059933407325194225,0.001664816870144284,25.504994450610432,9.02330743618202,0.011653718091009986,5.09433962264151,1.997780244173141,0.012985571587125417,20.410654827968923,7.025527192008879,0.011320754716981135,10.02219755826859,2.6970033296337403,0.008990011098779135,4.428412874583795,2.6970033296337403,2.031076581576027,2.031076581576027,1.032186459489456,1.6981132075471697,2.430632630410655,3.596004439511654,0.66,0.76,0.66,0.29,0.63,0.45,0.68,0.47,0.97,0.68,0.95,0,0.82,0.55,0.16,0.58,0.24,0.16,0.42,0.84,0.82,0.82,0.87,0.47,0.29,0.26,0.16,0.45,0.58,0.95,0.55,0.1,0.92,0.76,0.97,0.95,0.34,0.16,0.11,0.5,0.11,0.53,0.58,0.47,0.26,0.92,0.82,0.16,0.87,0.92,0.34,0.87,0.74,0.16,0.87,0.68,0.05,0.89,0.95,0.34,0.82,0.84,0.34,0.84,0.82,NA
